だ,だ,判定詞,
会う,会う,動詞,子音動詞ワ行
あう,あう,動詞,子音動詞ワ行
在る,在る,動詞,子音動詞ラ行
ある,ある,動詞,子音動詞ラ行
集める,集める,動詞,母音動詞
あつめる,あつめる,動詞,母音動詞
合う,合う,動詞,子音動詞ワ行
有る,有る,動詞,子音動詞ラ行
扱う,扱う,動詞,子音動詞ワ行
あつかう,あつかう,動詞,子音動詞ワ行
遭う,遭う,動詞,子音動詞ワ行
荒れる,荒れる,動詞,母音動詞
あれる,あれる,動詞,母音動詞
侮る,侮る,動詞,子音動詞ラ行
あなどる,あなどる,動詞,子音動詞ラ行
飽かす,飽かす,動詞,子音動詞ラ行
あかす,あかす,動詞,子音動詞サ行
合わす,合わす,動詞,子音動詞サ行
あわす,あわす,動詞,子音動詞サ行
暴く,暴く,動詞,子音動詞カ行
あばく,あばく,動詞,子音動詞カ行
明かす,明かす,動詞,子音動詞サ行
合わせる,合わせる,動詞,母音動詞
あわせる,あわせる,動詞,母音動詞
暴れる,暴れる,動詞,母音動詞
あばれる,あばれる,動詞,母音動詞
挙がる,挙がる,動詞,子音動詞ラ行
あがる,あがる,動詞,子音動詞ラ行
仰ぐ,仰ぐ,動詞,子音動詞ガ行
あおぐ,あおぐ,動詞,子音動詞ガ行
甘える,甘える,動詞,母音動詞
あまえる,あまえる,動詞,母音動詞
上がる,上がる,動詞,子音動詞ラ行
赤らむ,赤らむ,動詞,子音動詞マ行
あからむ,あからむ,動詞,子音動詞マ行
余す,余す,動詞,子音動詞サ行
あます,あます,動詞,子音動詞サ行
揚がる,揚がる,動詞,子音動詞ラ行
明らむ,明らむ,動詞,子音動詞マ行
甘やかす,甘やかす,動詞,子音動詞サ行
あまやかす,あまやかす,動詞,子音動詞サ行
飽きる,飽きる,動詞,母音動詞
あきる,あきる,動詞,母音動詞
赤らめる,赤らめる,動詞,母音動詞
あからめる,あからめる,動詞,母音動詞
余る,余る,動詞,子音動詞ラ行
あまる,あまる,動詞,子音動詞ラ行
開く,開く,動詞,子音動詞カ行
あく,あく,動詞,子音動詞カ行
明るむ,明るむ,動詞,子音動詞マ行
あかるむ,あかるむ,動詞,子音動詞マ行
怪しむ,怪しむ,動詞,子音動詞マ行
あやしむ,あやしむ,動詞,子音動詞マ行
空く,空く,動詞,子音動詞カ行
商う,商う,動詞,子音動詞ワ行
あきなう,あきなう,動詞,子音動詞ワ行
危ぶむ,危ぶむ,動詞,子音動詞マ行
あやぶむ,あやぶむ,動詞,子音動詞マ行
明く,明く,動詞,子音動詞カ行
欺く,欺く,動詞,子音動詞カ行
あざむく,あざむく,動詞,子音動詞カ行
操る,操る,動詞,子音動詞ラ行
あやつる,あやつる,動詞,子音動詞ラ行
開ける,開ける,動詞,母音動詞
あける,あける,動詞,母音動詞
味わう,味わう,動詞,子音動詞ワ行
あじわう,あじわう,動詞,子音動詞ワ行
過つ,過つ,動詞,子音動詞タ行
